numid,vlanid,name,ipnet,mask,gateway,ip,cidr,size,ipnum
1,1101,INFRA,10.50.45.0/24,255.255.255.0,10.50.45.1,10.50.45.0,24,256,171060480
1,5001,DMZ,172.18.0.0/22,255.255.252.0,172.18.3.254,172.18.0.0,22,1024,2886860800
1,4001,DMZ_PUB,172.18.4.0/24,255.255.255.0,172.18.4.254,172.18.4.0,24,256,2886861824
1,2201,TOIP,172.18.5.0/25,255.255.255.128,172.18.5.126,172.18.5.0,25,128,2886862080
1,5301,IMPRESSION,172.18.5.128/25,255.255.255.128,172.18.5.254,172.18.5.128,25,128,2886862208
1,1501,PROD,172.18.6.0/24,255.255.255.0,172.18.6.254,172.18.6.0,24,256,2886862336
1,901,TEST,172.18.7.0/24,255.255.255.0,172.18.7.254,172.18.7.0,24,256,2886862592
2,1102,INFRA,10.50.40.0/24,255.255.255.0,10.50.40.1,10.50.40.0,24,256,171059200
2,5002,DMZ,172.18.8.0/22,255.255.252.0,172.18.11.254,172.18.8.0,22,1024,2886862848
2,4002,DMZ_PUB,172.18.12.0/24,255.255.255.0,172.18.12.254,172.18.12.0,24,256,2886863872
2,2202,TOIP,172.18.13.0/25,255.255.255.128,172.18.13.126,172.18.13.0,25,128,2886864128
2,5302,IMPRESSION,172.18.13.128/25,255.255.255.128,172.18.13.254,172.18.13.128,25,128,2886864256
2,1502,PROD,172.18.14.0/24,255.255.255.0,172.18.14.254,172.18.14.0,24,256,2886864384
2,902,TEST,172.18.15.0/24,255.255.255.0,172.18.15.254,172.18.15.0,24,256,2886864640
3,1103,INFRA,10.50.53.0/24,255.255.255.0,10.50.53.1,10.50.53.0,24,256,171062528
3,5003,DMZ,172.18.16.0/22,255.255.252.0,172.18.19.254,172.18.16.0,22,1024,2886864896
3,4003,DMZ_PUB,172.18.20.0/24,255.255.255.0,172.18.20.254,172.18.20.0,24,256,2886865920
3,2203,TOIP,172.18.21.0/25,255.255.255.128,172.18.21.126,172.18.21.0,25,128,2886866176
3,5303,IMPRESSION,172.18.21.128/25,255.255.255.128,172.18.21.254,172.18.21.128,25,128,2886866304
3,1503,PROD,172.18.22.0/24,255.255.255.0,172.18.22.254,172.18.22.0,24,256,2886866432
3,903,TEST,172.18.23.0/24,255.255.255.0,172.18.23.254,172.18.23.0,24,256,2886866688
4,1104,INFRA,10.50.76.0/24,255.255.255.0,10.50.76.1,10.50.76.0,24,256,171068416
4,5004,DMZ,172.18.24.0/22,255.255.252.0,172.18.27.254,172.18.24.0,22,1024,2886866944
4,4004,DMZ_PUB,172.18.28.0/24,255.255.255.0,172.18.28.254,172.18.28.0,24,256,2886867968
4,2204,TOIP,172.18.29.0/25,255.255.255.128,172.18.29.126,172.18.29.0,25,128,2886868224
4,5304,IMPRESSION,172.18.29.128/25,255.255.255.128,172.18.29.254,172.18.29.128,25,128,2886868352
4,1504,PROD,172.18.30.0/24,255.255.255.0,172.18.30.254,172.18.30.0,24,256,2886868480
4,904,TEST,172.18.31.0/24,255.255.255.0,172.18.31.254,172.18.31.0,24,256,2886868736
5,1105,INFRA,10.50.48.0/24,255.255.255.0,10.50.48.1,10.50.48.0,24,256,171061248
5,5005,DMZ,172.18.32.0/23,255.255.254.0,172.18.33.254,172.18.32.0,23,512,2886868992
5,4005,DMZ_PUB,172.18.34.0/25,255.255.255.128,172.18.34.126,172.18.34.0,25,128,2886869504
5,2205,TOIP,172.18.34.128/26,255.255.255.192,172.18.34.190,172.18.34.128,26,64,2886869632
